"Plot","Ivesia gordonii","Lupinus argenteus","Elymus lanceolatus","Eriogonum umbellatum","Chaenactis douglasii","Heterotheca villosa","Arenaria congesta","Phacelia hastata","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Senecio crassulus","Achnatherum lettermanii","Agoseris glauca","Poa stenantha","Carex siccata","Viola praemorsa","Valeriana acutiloba"
"49R",3,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"4R",2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
"5",0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50R",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5R",0,6,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"6",7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6R",15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7R",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"8R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9R",2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
