"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2019,13,"2370","Elymus lanceolatus","Elymus lanceolatus",0,86,24,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,14,"1124","Eriogonum umbellatum","Eriogonum umbellatum",0,64,16,-10,-10,0,FALSE,12.5,2.5,0,0,1,,,
2019,14,"1125","Ivesia gordonii","Ivesia gordonii",0,60,82,-10,-10,0,FALSE,2.5,4,0,0,1,,,
2019,14,"1126","Heterotheca villosa","Heterotheca villosa",0,187,48,-10,-10,0,FALSE,18.5,4.5,9,0,1,,,"CR recounted flowers on 14 September"
2019,14,"149","Eriogonum umbellatum","Eriogonum umbellatum",0,82,55,-10,-10,0,FALSE,27,2,21,0,1,,,
2019,14,"150","Elymus lanceolatus","Elymus lanceolatus",0,70,50,-10,-10,0,FALSE,12.5,17,2,0,1,,,"2 clumps"
2019,14,"151","Elymus lanceolatus","Elymus lanceolatus",0,80,65,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,14,"152","Elymus lanceolatus","Elymus lanceolatus",0,78,68,-10,-10,0,FALSE,4,11,0,0,1,,,"1 clump"
2019,14,"153","Elymus lanceolatus","Elymus lanceolatus",0,85,87,0,-2,0,FALSE,30,26,10,0,1,,,"3 clumps, CR recounted flowers on 14 September"
2019,14,"156","Eriogonum umbellatum","Eriogonum umbellatum",0,148,102,-10,-10,0,FALSE,78,3,243,0,1,,,
2019,14,"157","Elymus lanceolatus","Elymus lanceolatus",0,135,105,-10,-10,0,FALSE,14,20,2,0,1,,,"3 clumps"
2019,14,"158","Elymus lanceolatus","Elymus lanceolatus",0,137,111,0,0,0,FALSE,18,26,3,0,1,,,"2 clumps new offset"
2019,14,"160","Elymus lanceolatus","Elymus lanceolatus",0,156,103,0,-1,0,FALSE,12,16,1,0,1,,,"1 clump"
2019,14,"161","Elymus lanceolatus","Elymus lanceolatus",0,145,112,1,-3,0,FALSE,13.5,26,1,0,1,,,"2 clumps"
2019,14,"162","Elymus lanceolatus","Elymus lanceolatus",0,153,112,5,-5,0,FALSE,4.5,5.5,0,0,1,,,
2019,14,"163","Elymus lanceolatus","Elymus lanceolatus",0,159,123,0,5,0,FALSE,7,15,0,0,1,,,
2019,14,"164","Elymus lanceolatus","Elymus lanceolatus",0,166,120,-10,-10,0,FALSE,11,20.5,2,0,1,,,"2 clumps"
2019,14,"2218","Elymus lanceolatus","Elymus lanceolatus",0,144,116,-4,-3,0,FALSE,7.5,11.5,0,0,1,,,"1 clump"
2019,15,"1129","Lupinus argenteus","Lupinus argenteus",0,135,15,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"1135","Lupinus argenteus","Lupinus argenteus",0,77,91,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"1140","Eriogonum umbellatum","Eriogonum umbellatum",0,152,30,-5,-5,0,FALSE,14.5,3.5,0,0,1,,,
2019,15,"1568","Eriogonum umbellatum","Eriogonum umbellatum",0,165,14,-10,-10,0,FALSE,3.5,1,0,0,1,,,
2019,15,"1571","Eriogonum umbellatum","Eriogonum umbellatum",0,71,164,-10,-10,0,FALSE,18,4,13,0,1,,,
2019,15,"165","Ivesia gordonii","Ivesia gordonii",0,64,57,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"167","Eriogonum umbellatum","Eriogonum umbellatum",0,54,83,-10,-10,0,FALSE,18,3,8,0,1,,,
2019,15,"173","Ivesia gordonii","Ivesia gordonii",0,39,188,-10,-10,0,FALSE,18,10.5,13,0,1,,,
2019,15,"175","Ivesia gordonii","Ivesia gordonii",0,60,181,-10,-10,0,FALSE,14,4,11,0,1,,,
2019,15,"176","Ivesia gordonii","Ivesia gordonii",0,67,173,-10,-10,0,FALSE,15.5,6,4,0,1,,,
2019,15,"177","Ivesia gordonii","Ivesia gordonii",0,85,170,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"178","Ivesia gordonii","Ivesia gordonii",0,90,165,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"179","Ivesia gordonii","Ivesia gordonii",0,95,165,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"1795","Eriogonum umbellatum","Eriogonum umbellatum",0,165,165,-10,-10,0,FALSE,15,3,6,0,1,,,
2019,15,"1797","Ivesia gordonii","Ivesia gordonii",0,172,96,-10,-10,0,FALSE,12.5,5.5,2,0,1,,,
2019,15,"1800","Lupinus argenteus","Lupinus argenteus",0,9,98,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
